publication_title,publication_doi,publication_journal_issn,num_cited_references
Prediction of engineering properties of fly ash-based geopolymer using artificial neural networks,https://doi.org/10.1007/s00521-019-04662-3,0941-0643,21
Performance-based economic analysis to find the sustainable aggregate option for a granular roadway,https://doi.org/10.1016/j.trgeo.2020.100410,2214-3912,40
Assessing benefits of artificial drainage on soybean yield in the North Central US region,https://doi.org/10.1016/j.agwat.2020.106425,0378-3774,24
Fc γ receptor IIIa/CD16a processing correlates with the expression of glycan-related genes in human natural killer cells,https://doi.org/10.1074/jbc.ra120.015516,0021-9258,44
Effectiveness of Denitrifying Bioreactors on Water Pollutant Reduction from Agricultural Areas,https://doi.org/10.13031/trans.14011,2151-0032,0
Associations of movement behaviors and body mass index: comparison between a report-based and monitor-based method using Compositional Data Analysis,https://doi.org/10.1038/s41366-020-0638-z,0307-0565,41
Strategies for the utilization of the USDA mung bean germplasm collection for breeding outcomes,https://doi.org/10.1002/csc2.20322,0011-183X,72
Effects of roof geometry on tornado-induced structural actions of a low-rise building,https://doi.org/10.1016/j.engstruct.2020.111367,0141-0296,22
Supernova 2018cuf: A Type IIP Supernova with a Slow Fall from Plateau,https://doi.org/10.3847/1538-4357/abc417,0004-637X,116
Single Nucleus RNA Sequence (snRNAseq) Analysis of the Spectrum of Trophoblast Lineages Generated From Human Pluripotent Stem Cells in vitro,https://doi.org/10.3389/fcell.2021.695248,2296-634X,46
Curcumin encapsulation in Pickering emulsions co-stabilized by starch nanoparticles and chitin nanofibers,https://doi.org/10.1039/d1ra01622a,2046-2069,45
"Retirement, Pensions, and Depressive Symptoms Among Older Adults in China, England, Mexico, and the United States",https://doi.org/10.1177/0091415019868227,0091-4150,52
The older plant gets the sun: Age‐related changes in Miscanthus × giganteus phenology,https://doi.org/10.1111/gcbb.12745,1757-1693,57
Morphological evolution and molecular phylogenetics of the Merostachys clade (Poaceae: Bambusoideae: Bambuseae: Arthrostylidiinae) based on multi-locus plastid sequences,https://doi.org/10.1093/botlinnean/boaa057,0024-4074,69
Molecularly imprinted micelles for fluorescent sensing of nonsteroidal anti-inflammatory drugs (NSAIDs),https://doi.org/10.1016/j.reactfunctpolym.2020.104759,1381-5148,52
Together We Rise: How Social Movements Succeed,https://doi.org/10.1002/jcpy.1201,1057-7408,182
Multi-component fuel drop-wall interactions at high ambient pressures,https://doi.org/10.1016/j.fuel.2020.119071,0016-2361,0
Homicidal child sexual abuse: Identifying the combinations of factors predicting a lethal outcome,https://doi.org/10.1016/j.chiabu.2020.104799,0145-2134,55
Advances toward validating examiner writership opinion based on handwriting kinematics,https://doi.org/10.1016/j.forsciint.2020.110644,0379-0738,10
Nutritional approaches to slow late finishing pig growth: implications on carcass composition and pork quality,https://doi.org/10.1093/jas/skaa368,0021-8812,35
Current Distribution and Population Persistence of Five Lepidopteran Pests in U.S. Soybean,https://doi.org/10.1093/jipm/pmab004,2155-7470,28
How useful is active learning for image‐based plant phenotyping?,https://doi.org/10.1002/ppj2.20020,2578-2703,22
Membrane Binding of α-Synuclein Stimulates Expansion of SNARE-Dependent Fusion Pore,https://doi.org/10.3389/fcell.2021.663431,2296-634X,35
"Prostaglandin E2 Signaling Mediates Oenocytoid Immune Cell Function and Lysis, Limiting Bacteria and Plasmodium Oocyst Survival in Anopheles gambiae",https://doi.org/10.3389/fimmu.2021.680020,1664-3224,44
The Streptochaeta Genome and the Evolution of the Grasses,https://doi.org/10.3389/fpls.2021.710383,1664-462X,129
"Differential Impact of Severity and Duration of Status Epilepticus, Medical Countermeasures, and a Disease-Modifier, Saracatinib, on Brain Regions in the Rat Diisopropylfluorophosphate Model",https://doi.org/10.3389/fncel.2021.772868,1662-5102,157
Revisiting Biological Nitrogen Fixation Dynamics in Soybeans,https://doi.org/10.3389/fpls.2021.727021,1664-462X,73
Impacts of agricultural price support policy on price variability and welfare: Evidence from China's soybean market,https://doi.org/10.1111/agec.12603,0169-5150,37
Consensus of All Solutions for Intractable Phylogenetic Tree Inference,https://doi.org/10.1109/tcbb.2019.2947051,1545-5963,58
Variogram Roughness Method for Casting Surface Characterization,https://doi.org/10.1007/s40962-020-00451-0,1939-5981,9
Interactive Web‐based Data Visualization and Analysis Tool for Synthetizing on‐farm Research Networks Data,https://doi.org/10.1002/jrsm.1440,1759-2879,12
"Developmental Variation in Amygdala Volumes: Modeling Differences Across Time, Age, and Puberty",https://doi.org/10.1016/j.bpsc.2020.08.006,2451-9022,29
Ketonic decarboxylation and esterification of propionic acid over beta zeolites,https://doi.org/10.1016/j.micromeso.2020.110628,1387-1811,51
Exploring the relationship between high-resolution aerosol optical depth values and ground-level particulate matter concentrations in the Metropolitan Area of São Paulo,https://doi.org/10.1016/j.atmosenv.2020.117949,1352-2310,70
Search for phenomena beyond the Standard Model in events with large b-jet multiplicity using the ATLAS detector at the LHC,https://doi.org/10.1140/epjc/s10052-020-08730-0,1434-6044,39
Clinical Validity of the Test of Gross Motor Development-3 in Children With Disabilities from the U.S. National Normative Sample,https://doi.org/10.1123/apaq.2020-0023,0736-5829,29
Two-Phase Zero-Effort-Miss/Zero-Effort-Velocity Guidance for Mars Landing,https://doi.org/10.2514/1.g005242,0731-5090,29
Dietary nucleotide supplementation as an alternative to in-feed antibiotics in weaned piglets,https://doi.org/10.1016/j.animal.2020.100021,1751-7311,28
Impact of flow on woodchip properties and subsidence in denitrifying bioreactors,https://doi.org/10.1002/agg2.20149,2639-6696,52
A hybrid model connecting regulatory interactions with stem cell divisions in the root,https://doi.org/10.1017/qpb.2021.1,2632-8828,40
&lt;b&gt;&lt;i&gt;Podocnemis expansa&lt;/i&gt;&lt;/b&gt; Turtles Hint to a Unifying Explanation for the Evolution of Temperature-Dependent Sex Determination in Long-Lived and Short-Lived Vertebrates,https://doi.org/10.1159/000515208,1661-5425,107
"Farmer perspectives on benefits of and barriers to extended crop rotations in Iowa, USA",https://doi.org/10.1002/ael2.20049,2471-9625,52
Host Genetics of Response to Porcine Reproductive and Respiratory Syndrome in Sows: Antibody Response as an Indicator Trait for Improved Reproductive Performance,https://doi.org/10.3389/fgene.2021.707873,1664-8021,20
Landscape of the Dark Transcriptome Revealed Through Re-mining Massive RNA-Seq Data,https://doi.org/10.3389/fgene.2021.722981,1664-8021,102
Is salamander arboreality limited by broad-scale climatic conditions?,https://doi.org/10.1371/journal.pone.0255393,1932-6203,46
Natural Horizontal Gene Transfer of Antimicrobial Resistance Genes in Campylobacter spp. From Turkeys and Swine,https://doi.org/10.3389/fmicb.2021.732969,1664-302X,75
Promoting sustainable agriculture: Iowa stakeholders’ perspectives on the US Farm Bill conservation programs,https://doi.org/10.1007/s10668-019-00572-5,1387-585X,30
Identifying early indicator traits for sow longevity using a linear-threshold model in Thai Large White and Landrace females,https://doi.org/10.5713/ajas.19.0855,2765-0189,14
Measurement of hadronic event shapes in high-pT multijet final states at $$ \sqrt{s} $$ = 13 TeV with the ATLAS detector,https://doi.org/10.1007/jhep01(2021)188,1029-8479,24
Real-Time Area Angle Monitoring Using Synchrophasors: A Practical Framework and Utility Deployment,https://doi.org/10.1109/tsg.2020.3020790,1949-3053,0
"Listening to Head Start teachers: Teacher beliefs, practices, and needs for educating dual language learners",https://doi.org/10.1016/j.ecresq.2020.08.005,0885-2006,37
New pedotransfer functions for soil water retention curves that better account for bulk density effects,https://doi.org/10.1016/j.still.2020.104812,0167-1987,52
Influence of Antenna Pattern on Synthetic Aperture Radar Resolution for NDE Applications,https://doi.org/10.1109/tim.2020.3026122,0018-9456,24
Characterization and differentiation of aluminum powders used in improvised explosive devices – Part 1: Proof of concept of the utility of particle micromorphometry,https://doi.org/10.1111/1556-4029.14564,0022-1198,3
Microstructural and micro-mechanical analysis of 14YWT nanostructured Ferritic alloy after varying thermo-mechanical processing paths into tubing,https://doi.org/10.1016/j.matchar.2020.110744,1044-5803,35
Environment dependent microbial co‐occurrences across a cyanobacterial bloom in a freshwater lake,https://doi.org/10.1111/1462-2920.15315,1462-2912,52
Temporospatial Development of Neuropathologic Findings in a Canine Model of Mucopolysaccharidosis IIIB,https://doi.org/10.1177/0300985820960128,0300-9858,59
Measuring birth weight and umbilical cord diameter at birth to predict subsequent performance in swine,https://doi.org/10.1093/tas/txaa214,2573-2102,17
Developing guidance templates and terminology to support multiple traceability objectives in the grain supply chain,https://doi.org/10.1002/cche.10388,0009-0352,15
The Instructional Sensitivity of the Test of Gross Motor Development-3 to Detect Changes in Performance for Young Children With and Without Down Syndrome,https://doi.org/10.1123/apaq.2020-0047,0736-5829,0
Iowa State University’s English placement test of oral communication in times of COVID-19,https://doi.org/10.1080/15434303.2020.1862122,1543-4303,2
"Overlapping measures or constructs? An empirical study of the overlap between self-control, psychopathy, Machiavellianism and narcissism",https://doi.org/10.1016/j.fsisyn.2021.100141,2589-871X,35
"Soybean Gall Midge (Diptera: Cecidomyiidae), a New Species Causing Injury to Soybean in the United States",https://doi.org/10.1093/jipm/pmab001,2155-7470,3
Strategies to Assure Optimal Trade-Offs Among Competing Objectives for the Genetic Improvement of Soybean,https://doi.org/10.3389/fgene.2021.675500,1664-8021,96
Identification of Candidate Genes for Self-Compatibility in Perennial Ryegrass (Lolium perenne L.),https://doi.org/10.3389/fpls.2021.707901,1664-462X,62
Whole genome sequencing analyses identified genomic regions affecting genetic defects in cultivated gilthead seabream (Sparus aurata),,1594-4077,0
Optimization for L1-Norm Error Fitting via Data Aggregation,https://doi.org/10.1287/ijoc.2019.0908,1091-9856,34
Application of quadrature-based moment methods to the conditional moment closure,https://doi.org/10.1016/j.proci.2020.07.075,1540-7489,16
"Hölder, Sobolev, weak-type and BMO estimates in mixed-norm with weights for parabolic equations",https://doi.org/10.1007/s11425-018-1550-5,1869-1862,14
Numerical verification of variable friction cladding connection for multihazard mitigation,https://doi.org/10.1177/1077546320923933,1077-5463,56
Are Visible Fractures Accurate Predictors of Flow and Mass Transport in Fractured Till?,https://doi.org/10.1111/gwat.13013,0017-467X,20
First Report of Brown Leaf Spot of Rice Caused byBipolaris zeicolain Pakistan,https://doi.org/10.1094/pdis-04-20-0838-pdn,0191-2917,0
Light scattering by pores in YAG transparent ceramics simulated by DDA model,https://doi.org/10.1111/jace.17425,0002-7820,35
Stability and temporal decay of nanopatterned tribocharge on nanotextured elastomer surfaces,https://doi.org/10.1016/j.nanoen.2020.105441,2211-2855,46
"Comments on “Virtual age, is it real? (Discussing virtual age in reliability context)” by M. Finkelstein and J. H. Cha",https://doi.org/10.1002/asmb.2584,1524-1904,16
Nitrogen fertilization rate and method influences water and nitrogen productivity of forage winter wheat,https://doi.org/10.1002/agj2.20495,0002-1962,33
Characterization of MOCVD regrown <i>p</i>-GaN and the interface properties for vertical GaN power devices,https://doi.org/10.1088/1361-6641/abc7d1,0268-1242,35
Developing benchmarks to capture relative performance for sales force incentives decisions: Lessons from B2B insurance industry,https://doi.org/10.1016/j.indmarman.2020.11.002,0019-8501,36
Reorienting Perspectives: Why I Do Not Teach a Course Titled ‘Islamic Architecture’,https://doi.org/10.1386/ijia_00033_1,2045-5895,1
"The effects of feeding ferric citrate on ruminal bacteria, methanogenic archaea and methane production in growing beef steers",https://doi.org/10.1099/acmi.0.000180,2516-8290,25
Bottomonium production in Pb + Pb collisions with ATLAS,https://doi.org/10.1016/j.nuclphysa.2020.121860,0375-9474,8
Upholding Language Assessment Quality during the COVID-19 Pandemic: Some Final Thoughts and Questions,https://doi.org/10.1080/15434303.2020.1867555,1543-4303,3
The normalized distance Laplacian,https://doi.org/10.1515/spma-2020-0114,2300-7451,16
North American Prairie Is a Source of Pollen for Managed Honey Bees (Hymenoptera: Apidae),https://doi.org/10.1093/jisesa/ieab001,1536-2442,26
Phenotypic trait extraction of soybean plants using deep convolutional neural networks with transfer learning,https://doi.org/10.3934/bdia.2021003,2380-6966,38
Identification and Biology of Common Caterpillars in U.S. Soybean,https://doi.org/10.1093/jipm/pmab006,2155-7470,54
Flipping the adult natural resources classroom to build community and learn in nature,https://doi.org/10.1002/nse2.20061,2168-8273,9
Evaluating student attitudes and learning at remote collegiate soil judging events,https://doi.org/10.1002/nse2.20065,2168-8273,9
Dynamic Programming for Resource Allocation in Multi-Allelic Trait Introgression,https://doi.org/10.3389/fpls.2021.544854,1664-462X,16
"“Candidatus Chlorobium masyuteum,” a Novel Photoferrotrophic Green Sulfur Bacterium Enriched From a Ferruginous Meromictic Lake",https://doi.org/10.3389/fmicb.2021.695260,1664-302X,98
A residual-based approach for robust random forest regression,https://doi.org/10.4310/20-sii660,1938-7989,0
In-situ monitoring of Direct Energy Deposition via Structured Light System and its application in remanufacturing industry,https://doi.org/10.1016/j.promfg.2021.06.011,2351-9789,28
Host Genetics of Response to Porcine Reproductive and Respiratory Syndrome in Sows: Reproductive Performance,https://doi.org/10.3389/fgene.2021.707870,1664-8021,42
TSNAD v2.0: A one-stop software solution for tumor-specific neoantigen detection,https://doi.org/10.1016/j.csbj.2021.08.016,2001-0370,29
Pharmacokinetics of Pantoprazole and Pantoprazole Sulfone in Goats After Intravenous Administration: A Preliminary Report,https://doi.org/10.3389/fvets.2021.744813,2297-1769,38
Defensive Ecological Adaptive Cruise Control Considering Neighboring Vehicles’ Blind-Spot Zones,https://doi.org/10.1109/access.2021.3127171,2169-3536,0
Actin Cytoskeleton Morphology Modeling Using Graph Embedding and Classification in Machine Learning,https://doi.org/10.1016/j.ifacol.2021.11.195,2405-8963,15
AI Guided Measurement of Live Cells Using AFM,https://doi.org/10.1016/j.ifacol.2021.11.193,2405-8963,18
The United States Swine Pathogen Database: integrating veterinary diagnostic laboratory sequence data to monitor emerging pathogens of swine,https://doi.org/10.1093/database/baab078,1758-0463,70
Towards Smartphone Operating System Identification,https://doi.org/10.1109/tdsc.2019.2892482,1545-5971,0
Finite symmetric tensor categories with the Chevalley property in characteristic 2,https://doi.org/10.1142/s0219498821400107,0219-4988,7
Identity of Engineering Expertise: Implicitly Biased and Sustaining the Gender Gap,https://doi.org/10.1061/(asce)ei.2643-9115.0000027,2643-9107,28
Static and Dynamic Space Usage of Late-Gestation Sows,https://doi.org/10.13031/trans.14002,2151-0032,0
Demographic differences on health personality in a United States older adult sample,https://doi.org/10.1016/j.paid.2020.110373,0191-8869,22
"Comparison of aerial and ground sprayer fungicide application technologies on canopy coverage, disease severity, lodging, and yield of corn",https://doi.org/10.1016/j.cropro.2020.105393,0261-2194,14
"One Fish, Two Fish; Red Fish (or Green Fish?): Assisting Students With Color Vision Deficiency",https://doi.org/10.1177/0098628320959946,0098-6283,2
"Glass transition temperature studies of planetary ball milled glasses: Accessing the rapidly cooled glassy state in Na4P2S7-xOx, 0 ≤ x ≤ 7, Oxy-thio phosphate glasses",https://doi.org/10.1016/j.jnoncrysol.2020.120462,0022-3093,34
Quantitative Assessment of Satellite L-Band Vegetation Optical Depth in the U.S. Corn Belt,https://doi.org/10.1109/lgrs.2020.3034174,1545-598X,37
Effect of Exposure Conditions and Internal Curing on Pore Water Potential Development in Cement-Based Materials,https://doi.org/10.1177/0361198120957319,0361-1981,18
"Using Loseke to examine the influence of laws, myths, and claims making on sex offenders’ socially constructed realities",https://doi.org/10.1007/s43545-020-00005-5,2662-9283,47
Human Dimensions: The ESA Student Section,https://doi.org/10.1002/bes2.1812,0012-9623,3
Collusion among Accounting Students: Data Visualization and Topic Modeling of Student Interviews,https://doi.org/10.1111/dsji.12226,1540-4595,32
"Dust Bowls of Empire: Imperialism, Environmental Politics, and the Injustice of “Green” Capitalism. By Hannah Holleman. New Haven: Yale University Press, 2018. 256 pp. Index and notes. Cloth $35.00. Legacies of Dust: Land Use and Labor on the Colorado Plains. By Douglas Sheflin. Lincoln: University of Nebraska Press, 2019. xvi + 406 pp. Illustrations, maps, notes, bibliography, and index. Cloth $55.00, e-book $55.00.",https://doi.org/10.1093/envhis/emaa067,1084-5453,0
Is Accounting Information Quality Priced in Managerial Labor Market?,https://doi.org/10.2139/ssrn.3633357,1556-5068,0
What best animal science teachers do,https://doi.org/10.1093/tas/txaa223,2573-2102,9
Correction to: Texture Analysis of Additively Manufactured Ti-6Al-4V Deposited Using Different Scanning Strategies,https://doi.org/10.1007/s11661-020-06082-8,1073-5623,0
CAMEL–CANAR Regulates PIN Trafficking and Polarity,https://doi.org/10.1016/j.molp.2020.12.007,1674-2052,0
Probing Jet Modification in Small Systems via π0-hadron Correlations in PHENIX,https://doi.org/10.1016/j.nuclphysa.2020.121933,0375-9474,3
Innovative Partnerships,https://doi.org/10.1097/tin.0000000000000233,0883-5691,0
"DEXMEDETOMIDINE, BUTORPHANOL, AND MIDAZOLAM AS A REVERSIBLE INDUCTION PROTOCOL IN NORTH AMERICAN RIVER OTTERS (LONTRA CANADENSIS)",https://doi.org/10.1638/2019-0177,1042-7260,0
"Soybean Gall Midge Efficacy, 2020",https://doi.org/10.1093/amt/tsab010,2155-9848,0
Sectional model of a prairie buffer strip in a laboratory flume for water quality research,https://doi.org/10.1002/agg2.20133,2639-6696,21
"Soybean Aphid Insecticide Efficacy Screening, 2020",https://doi.org/10.1093/amt/tsab002,2155-9848,0
Selling High-Tech Inputs to the Enemy,https://doi.org/10.2139/ssrn.3788706,1556-5068,0
"Money, Violence, and the Financialized Self in Michael Haneke's Glaciation Trilogy",https://doi.org/10.1111/gequ.12159,0016-8831,7
Staphylococcus aureus resistentes aos β-lactâmicos em mastites de gado leiteiro: uma meta-análise / Staphylococcus aureus resistant to β-lactam antibiotics in mastitis dairy herds: a meta-analysis,https://doi.org/10.34188/bjaerv4n1-064,2595-573X,0
An Online Feedback-Based Linearized Power Flow Model for Unbalanced Distribution Networks,https://doi.org/10.1109/tpwrs.2021.3133257,0885-8950,0
The Interplay Between Absolute Language and Moral Reasoning on Endorsement of Moral Foundations,https://doi.org/10.3389/fpsyg.2021.569380,1664-1078,29
Dynamics of many species through competition for resources,https://doi.org/10.4310/cms.2021.v19.n3.a8,1539-6746,0
Comparing riparian buffer design classification data among watersheds representing Iowa landscapes,https://doi.org/10.1002/agg2.20159,2639-6696,24
Comparison of Dry Matter Loss Rates from Static and Dynamic Grain Respiration Measurement Systems for Soybeans at 18% Moisture Content and 30°C,https://doi.org/10.13031/trans.14161,2151-0032,0
Understanding firewomen’s fit problems with their coats and pants and its impact on mobility and safety,https://doi.org/10.3233/wor-213490,1051-9815,14
Determination of Diffusion Kinetics of Ketamine in Brain Tissue: Implications for in vitro Mechanistic Studies of Drug Actions,https://doi.org/10.3389/fnins.2021.678978,1662-453X,28
Muslims in Medieval Inquisitorial Thought: Nicolau Eymeric and His Contexts,https://doi.org/10.1017/s0009640721000834,0009-6407,13
Enhanced Detection of Mycobacterium bovis-Specific T Cells in Experimentally-Infected Cattle,https://doi.org/10.3389/fvets.2021.676710,2297-1769,32
Preface to the Special Issue on Sexual Development and the Environment,https://doi.org/10.1159/000517937,1661-5425,0
Needs Assessment for Corn Insect Pest Management in Iowa,https://doi.org/10.1093/jipm/pmab021,2155-7470,19
Corrigendum: Polysaccharide Biosynthesis: Glycosyltransferases and Their Complexes,https://doi.org/10.3389/fpls.2021.720709,1664-462X,0
Surface extraction from micro-computed tomography data for additive manufacturing,https://doi.org/10.1016/j.promfg.2021.06.057,2351-9789,20
"Chromosome-Scale Genome for a Red-Fruited, Perpetual Flowering and Runnerless Woodland Strawberry (Fragaria vesca)",https://doi.org/10.3389/fgene.2021.671371,1664-8021,38
Effects of Splits Content on Dry Matter Loss Rates of Soybeans Measured Using a Static Grain Respiration Measurement System,https://doi.org/10.13031/trans.14195,2151-0032,0
Understanding Factors Influencing Farmers' Engagement in Watershed Management Activities,https://doi.org/10.3389/fsufs.2021.669571,2571-581X,28
U.S. Cattle Producer Adoption of Secure Beef Supply Plan Enhanced Biosecurity Practices and Foot-and-Mouth Disease Preparedness,https://doi.org/10.3389/fvets.2021.660857,2297-1769,11
"Organic agriculture effect on water use, tile flow, and crop yield",https://doi.org/10.1002/agg2.20200,2639-6696,37
Zarankiewicz’s problem for semilinear hypergraphs,https://doi.org/10.1017/fms.2021.52,2050-5094,19
Integrated Genomic Analyses From Low-Depth Sequencing Help Resolve Phylogenetic Incongruence in the Bamboos (Poaceae: Bambusoideae),https://doi.org/10.3389/fpls.2021.725728,1664-462X,89
"Impacts of Ethanol Production and Drying Conditions on the Chemical, Physical, and Flowability Properties of Distillers Dried Grains With Solubles",https://doi.org/10.3389/fbioe.2021.716634,2296-4185,15
Permittivity Extraction from Synthetic Aperture Radar (SAR) Images of Multilayered Media,https://doi.org/10.1109/tim.2021.3113118,0018-9456,0
Data Driven Explanation of Temporal and Spatial Variability of Maize Yield in the United States,https://doi.org/10.3389/fpls.2021.701192,1664-462X,32
Designing Adaptive Extended Reality Training Systems Based on Expert Instructor Behaviors,https://doi.org/10.1109/access.2021.3118105,2169-3536,0
